날짜,,실시간 전력 부하,,,,,,육태,육풍,제태,제풍,신재생에너지,,,,,날짜,Net demand,hour,Demand,,
2022-06-30 0:00,92154100000,66763800000,25390400000,13117900000,19.6 %,2022-06-30,1:00,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:00,60251716667 ,1,2982,,0
2022-06-30 0:05,91326700000,66731000000,24595700000,13129400000,19.7 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:05,60218916667 ,2,2981,,0
2022-06-30 0:10,91310700000,66015900000,25294800000,13356700000,20.2 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:10,59503816667 ,3,2945,,0
2022-06-30 0:15,91296200000,65864200000,25432000000,13348200000,20.3 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:15,59352116667 ,4,2938,,0
2022-06-30 0:20,91305200000,65642900000,25662400000,13094300000,19.9 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:20,59130816667 ,5,2927,,0
2022-06-30 0:25,91300700000,65524100000,25776600000,13118100000,20.0 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:25,59012016667 ,6,2921,,0
2022-06-30 0:30,91308500000,65142900000,26165600000,12808800000,19.7 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:30,58630816667 ,7,2902,,0
2022-06-30 0:35,91339700000,64960800000,26378800000,12474000000,19.2 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:35,58448716667 ,8,2893,,0
2022-06-30 0:40,91337400000,64660800000,26676700000,12512600000,19.4 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:40,58148716667 ,9,2878,,0
2022-06-30 0:45,91346900000,64728000000,26618900000,12227100000,18.9 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:45,58215916667 ,10,2882,,0
2022-06-30 0:50,91356400000,64466200000,26890200000,11958800000,18.6 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:50,57954116667 ,11,2869,,0
2022-06-30 0:55,91361800000,64330700000,27031000000,11718600000,18.2 %,,,34025000,5327058333,1291666.667,1149708333,6512083333,,,,,22-6-30 0:55,57818616667 ,12,2862,,0
2022-06-30 1:00,91351100000,63895900000,27455300000,11474200000,18.0 %,2022-06-30,2:00,10566666.67,5405983333,508333.3333,1172183333,6589241667,,,,,22-6-30 1:00,57306658333 ,13,2837,,0
2022-06-30 1:05,91213100000,63841100000,27372000000,11281000000,17.7 %,,,10566666.67,5405983333,508333.3333,1172183333,6589241667,,,,,22-6-30 1:05,57251858333 ,14,2834,,0
2022-06-30 1:10,91217200000,64137800000,27079400000,11032300000,17.2 %,,,10566666.67,5405983333,508333.3333,1172183333,6589241667,,,,,22-6-30 1:10,57548558333 ,15,2849,,0
2022-06-30 1:15,91226100000,63787200000,27438900000,11179600000,17.5 %,,,10566666.67,5405983333,508333.3333,1172183333,6589241667,,,,,22-6-30 1:15,57197958333 ,16,2831,,0
2022-06-30 1:20,91242100000,63623100000,27619000000,11012900000,17.3 %,,,10566666.67,5405983333,508333.3333,1172183333,6589241667,,,,,22-6-30 1:20,57033858333 ,17,2823,,0
2022-06-30 1:25,91241800000,63456400000,27785400000,10804900000,17.0 %,,,10566666.67,5405983333,508333.3333,1172183333,6589241667,,,,,22-6-30 1:25,56867158333 ,18,2815,,0
2022-06-30 1:30,91238700000,63347800000,27890900000,10480300000,16.5 %,,,10566666.67,5405983333,508333.3333,1172183333,6589241667,,,,,22-6-30 1:30,56758558333 ,19,2810,,0
2022-06-30 1:35,91233700000,63527200000,27706500000,10306800000,16.2 %,,,10566666.67,5405983333,508333.3333,1172183333,6589241667,,,,,22-6-30 1:35,56937958333 ,20,2818,,0
